ISIN,Company Long Name,Company Secretary
INE372A01015,Apar Industries Limited,com_sec@apar.com
INE838B01013,Bharat Rasayan Limited,investors.brl@bharatgroup.co.in
INE244A01016,De Nora India Limited,milita.rodrigues@denora.com
INE588B01014,ECE Industries Limited,ecehodelhi@gmail.com
INE188A01015,Fertilizers and Chemicals Travancore Limited,kvbnair@factltd.com
INE424C01010,Ginni Filaments Limited,secretarial@ginnifilaments.com
INE528A01020,GKW Limited,gkw@cal2.vsnl.net.in
INE419A01022,Kothari Sugars And Chemicals Limited,secdept@hckgroup.com
INE033B01011,Quintegra Solutions Limited,investors@quintegrasolutions.com
INE147A01011,Southern Petrochemicals Industries Corporation  Limited,share.dep@spic.co.in
INE144J01027,20 Microns Limited,investors@20microns.com
INE748C01020,3i Infotech Limited,investors@3i-infotech.com
INE470A01017,3M India Limited,vsrinivasan@mmm.com
INE650K01013,8K Miles Software Services Limited,contactus@8kmilessoftwareservices.com
INE117A01022,ABB India Limited,Investor.helpdesk@in.abb.com
INE619I01012,A2Z Maintenance & Engineering Services Limited,complianceofficer@a2zemail.com
INE767A01016,Aarti Drugs Limited,investorrelations@aartidrugs.com
INE769A01020,Aarti Industries Limited,investorrelations@aartigroup.com
INE273D01019,Aarvee Denims & Exports Limited,"grievance@aarvee-denims.com, cs@aarvee-denims.com"
INE421A01028,Aban Offshore Limited,"abanoffshore@aban.com, ir@aban.con"
INE358A01014,Abbott India Limited,krupa.anandpara@abbott.com
INE067H01016,ABG Shipyard Limited,shipyard@abgindia.com
INE012A01025,ACC Limited,ACC-InvestorSupport@acclimited.com
INE020G01017,Accel Frontline Limited,info@accelfrontline.in
INE793A01012,Accelya Kale Solutions Limited,ninad.umranikar@accelyakale.com
INE055L01013,Acropetal Technologies Limited,ir@acropetal.com
INE731H01025,Action Construction Equipment Limited,cs@ace-cranes.com
INE423A01024,Adani Enterprises Limited,investor.relations@adani.in
INE742F01042,Adani Ports and Special Economic Zone Limited,dshah@adanigroup.com
INE814H01011,Adani Power Limited,investorgrievance@adanipower.com
INE982B01019,ADF Foods Limited,co_secretary@adf-foods.com
INE400H01019,Adhunik Metaliks Limited,investorsrelation@adhunikgroup.co.in
INE865C01022,Aditya Birla Money Limited,abml.investorgrievance@adityabirla.com
INE069A01017,Aditya Birla Nuvo Limited,hutokshi.wadia@adityabirla.com
INE605B01016,Aditya Birla Chemicals (India) Limited,abcil.investors@adityabirla.com
INE045A01017,Ador Welding Limited,vmbhide@adorians.com
INE436N01029,Advance Metering Technology Limited,rakesh.dhody@pkgroup.in
INE199C01026,Advani Hotels & Resorts (India) Limited,cs.ho@advanihotels.com
INE517H01028,Advanta Limited,investor@advantaindia.com
INE208C01017,Aegis Logistics Limited,aegis@aegisindia.com 
INE796A01023,Aftek Limited,investor-relations@aftek.com
INE204E01012,Agarwal Industrial Corporation Limited,r.bhalla@aicltd.in
INE676A01019,AGC Networks Limited,investors@agcnetworks.com
INE449G01018,Agri-Tech (India) Limited,investor@agri-tech.in
INE135B01014,Agro Dutch Industries Limited,investors@agro-dutch.com
INE209A01019,Agro Tech Foods Limited,phani.mangipudi@atfoods.com
INE758C01029,Ahluwalia Contracts (India) Limited,mail@acilnet.com
INE425A01011,Ahmednagar Forgings Limited,investors.relation@amtek.com
INE768E01024,AI Champdany Industries Limited,aicilinvestors@gmail.com
INE212H01026,AIA Engineering Limited,ric@aiaengineering.com
INE031B01031,Ajanta Pharma Limited,investorgrievance@ajantapharma.com
INE298G01027,Ajmera Realty & Infra India Limited,investors@ajmera.com
INE523B01011,Aksh Optifibre Limited,gaurav@akshoptifibre.com
INE133A01011,Akzo Nobel India Limited,investor.india@akzonobel.com
INE964B01033,Alchemist Limited,investors@alchemist.co.in
INE426A01027,Alembic Limited,alembic.investors@alembic.co.in
INE901L01018,Alembic Pharmaceuticals Limited,apl.investors@alembic.co.in
INE062D01024,Alicon Castalloy Limited,marketing@alicongroup.co.in
INE773I01017,Alkali Metals Limited,secretarial@alkalimetals.com
INE150B01013,Alkyl Amines Chemicals Limited,krajagopalan@alkylamines.com
INE428A01015,Allahabad Bank,investors.grievance@allahabadbank.in
INE418H01029,Allcargo Logistics Limited,investor.relations@allcargologistics.com
INE102I01027,Allied Digital Services Limited,investors@allieddigital.net
INE835G01018,Allsec Technologies Limited,investorcontact@allsectech.com
INE326B01027,Almondz Global Securities Limited,complianceofficer@almondz.com
INE270A01011,Alok Industries Limited,gopal@alokind.com
INE385I01010,Alpa Laboratories Limited,is@alpalabs.com
INE137C01018,Alphageo (India) Limited,info@alphageoindia.com
INE840D01015,Alpine Housing Development Corporation Limited,investors.grievance@alpinehousing.com
INE093B01015,Alps Industries Limited,ajaygupta@alpsindustries.com
INE878A01011,Alstom India Limited,pradeepta.puhan@power.alstom.com
INE200A01026,Alstom T&D India Limited,manojprasad.singh@alstom.com
INE885A01032,Amara Raja Batteries Limited,investorservices@amararaja.co.in
INE484D01012,Amarjothi Spinning Mills Limited,mill@amarjothi.net
INE540G01014,Ambika Cotton Mills Limited,acmambikacottonmills@gmail.com
INE079A01024,Ambuja Cements Limited,shares@ambujacement.com
INE005I01014,AMD Industries Limited,investor@amdindustries.com
INE988A01026,Amit Spinning Industries Limited,"secretarial@clcindia.com, bharatk@clcindia.com"
INE098F01023,Amrutanjan Health Care Limited,investors@amrutanjan.con
INE130C01021,Amtek Auto Limited,investors.relation@amtek.com
INE068D01021,Amtek India Limited,investors.relation@amtek.com
INE242C01024,Anant Raj Limited,manojpahwa@anantraj.com
INE434A01013,Andhra Bank,mbd@andhrabank.co.in
